4.7492,4.6327,4.6817,4.9220,5.5185,6.0203,6.3489,6.6103,6.6679,7.4612,7.9893,8.2354,8.2445,8.5108,7.9666,7.3919,7.0948,6.6336,6.3653,5.8052,6.1142,6.5969,6.5365,6.4696,6.1639,NaN,NaN,NaN,NaN,NaN
4.5899,4.5409,4.4890,4.6535,5.4716,6.0411,6.3047,6.4661,6.6838,7.4469,8.1067,8.0395,7.8255,7.6937,7.4138,7.0208,6.8723,6.5942,6.1562,5.7529,5.9475,6.5151,6.6468,6.5365,6.8246,NaN,NaN,NaN,NaN,NaN
4.4714,4.2978,4.2820,4.6712,5.3085,5.9365,6.2735,6.3758,6.7436,7.2220,7.7458,7.2841,7.4437,7.0911,6.9532,6.7764,6.6171,6.5299,5.9923,5.6986,5.8818,6.4820,6.7696,7.1426,NaN,NaN,NaN,NaN,NaN,NaN
4.2445,4.0841,4.2007,4.6045,5.1081,5.6843,6.1155,6.1996,6.5312,6.7416,7.2070,7.2611,7.3164,6.9914,6.4981,6.2503,6.3956,6.3300,5.6907,5.4766,5.7531,6.3650,6.8513,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.8737,4.0372,4.3606,4.6855,4.9851,5.3344,5.7809,6.0099,6.1185,6.3825,6.7344,6.7580,6.9162,6.6993,6.3618,5.9810,5.9694,5.7912,5.4890,5.2364,5.5467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.4300,3.9123,4.4622,4.6936,4.9204,5.1439,5.5270,5.7642,6.0023,6.2252,6.1897,6.3648,6.2340,6.2656,6.2039,5.9640,5.5117,5.3732,5.3574,5.2082,5.6972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.3691,3.7103,4.4736,4.6915,4.9234,5.0008,5.3270,5.7632,6.0082,5.9895,5.9934,6.1706,5.8246,6.0552,5.8179,5.7410,5.4589,4.9311,4.9835,4.9190,5.5244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5019,3.8305,4.3821,4.8813,4.8284,5.0365,5.7631,5.6782,5.8422,6.0626,NaN,NaN,5.6195,5.5702,5.7381,5.6477,5.5420,4.3751,5.0356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,3.7255,NaN,NaN,NaN,NaN,5.2028,5.6300,5.8048,5.9343,NaN,5.0688,4.8955,4.8321,5.0645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.6503,4.0179,4.6838,4.8803,5.1322,5.4433,5.4780,5.6664,5.6234,5.2581,4.7368,4.5200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
